Initial price: $10.00
On day 1 $9.53
On day 2 $9.23
On day 3 $9.73
On day 4 $9.58
On day 5 $9.25
On day 6 $9.11
On day 7 $10.56
On day 8 $11.50
On day 9 $11.19
On day 10 $11.56
On day 11 $12.06
On day 12 $11.92
On day 13 $11.42
On day 14 $13.37
On day 15 $13.73
On day 16 $13.29
On day 17 $12.72
On day 18 $14.49
On day 19 $14.82
On day 20 $16.41
On day 21 $16.24
On day 22 $17.39
On day 23 $17.33
On day 24 $17.08
On day 25 $16.46
On day 26 $18.04
On day 27 $17.45
On day 28 $20.33
On day 29 $20.86
On day 30 $21.23
On day 31 $20.22
On day 32 $19.39
On day 33 $22.73
On day 34 $24.87
On day 35 $24.41
On day 36 $27.63
On day 37 $27.92
On day 38 $28.43
On day 39 $28.34
On day 40 $30.65
On day 41 $33.44
On day 42 $32.36
On day 43 $33.20
On day 44 $31.57
On day 45 $30.88
On day 46 $35.42
On day 47 $34.44
On day 48 $33.29
On day 49 $31.96
On day 50 $31.27
On day 51 $33.39
On day 52 $32.30
On day 53 $33.64
On day 54 $37.44
On day 55 $37.21
On day 56 $37.49
On day 57 $35.66
On day 58 $34.12
On day 59 $34.90
On day 60 $38.62
On day 61 $41.84
On day 62 $41.22
On day 63 $39.77
On day 64 $39.02
On day 65 $38.52
On day 66 $44.66
On day 67 $43.01
On day 68 $42.23
On day 69 $42.61
On day 70 $48.58
On day 71 $48.19
On day 72 $55.29
On day 73 $54.18
On day 74 $54.08
On day 75 $53.46
On day 76 $60.09
On day 77 $70.32
On day 78 $82.31
On day 79 $79.57
On day 80 $75.63
On day 81 $88.21
On day 82 $86.06
On day 83 $95.29
On day 84 $93.25
On day 85 $93.14
On day 86 $103.05
